新系统供应商编码,_month,一级分类,下单金额,占比
V1407365,2016-04,服务类,4960.0,1.0
V1407366,2017-12,服务类,2600.0,1.0
V1407369,2016-10,服务类,31545.6,1.0
V1407372,2017-04,服务类,71141.0,1.0
V1407373,2017-06,建材,3970.0,0.11611718183307206
V1407373,2017-06,服务类,30219.6,0.8838828181669279
V1407392,2016-03,服务用品,60792.0,0.9079937865933804
V1407392,2016-03,运营电器,6160.0,0.09200621340661967
V1407404,2016-05,服务用品,650.0,1.0
V1407411,2016-03,五金电气,500.0,0.39904229848363926
V1407411,2016-03,服务用品,135.0,0.1077414205905826
V1407411,2016-03,服务类,550.0,0.4389465283320032
V1407411,2016-03,装饰,40.0,0.03192338387869114
V1407411,2016-03,餐具厨具,28.0,0.0223463687150838
V1407412,2016-12,五金电气,81.5,0.0038957003895700388
V1407412,2016-12,建材,20839.0,0.99610429961043
V1407412,2017-10,建材,81525.0,1.0
V1407413,2016-03,五金电气,465.0,0.004322485289606514
V1407413,2016-03,建材,107112.0,0.9956775147103935
V1407413,2017-04,建材,301848.685,1.0
V1407416,2016-04,运营电器,267031.0,1.0
V1407422,2016-09,运营电器,63000.0,1.0
V1407431,2016-03,服务用品,11832.0,1.0
V1407437,2016-02,办公,40.0,0.008787346221441126
V1407437,2016-02,印刷,4512.0,0.9912126537785588
V1407440,2016-09,服务类,51079.0,1.0
V1407450,2016-08,建材,112913.5,1.0
V1407450,2017-04,建材,88267.725,1.0
V1407450,2017-10,建材,131991.1,1.0
V1407467,2016-03,办公,1130.0,0.12049991469032588
V1407467,2016-03,服务用品,950.0,0.10130523801399079
V1407467,2016-03,特色商品,60.0,0.006398225558778365
V1407467,2016-03,食品饮料,7237.6,0.771796621736905
V1407474,2016-03,工程电器,1200.0,0.19837989750371962
V1407474,2016-03,服务用品,3823.0,0.6320052901306001
V1407474,2016-03,服务类,301.0,0.049760290957183005
V1407474,2016-03,运营电器,725.0,0.11985452140849727
V1407477,2016-04,办公,160.0,0.014483570200054313
V1407477,2016-04,印刷,10137.0,0.9176246944871911
V1407477,2016-04,服务类,750.0,0.0678917353127546
V1407485,2016-09,五金电气,2476.0,0.30136319376825704
V1407485,2016-09,工程电器,300.0,0.0365141187925998
V1407485,2016-09,建材,584.0,0.07108081791626096
V1407485,2016-09,服务类,4856.0,0.5910418695228822
V1407491,2016-03,五金电气,2680.0,0.29487787990198305
V1407491,2016-03,办公,1145.6192,0.12605140331007683
V1407491,2016-03,建材,998.143,0.1098247357011213
V1407491,2016-03,服务用品,1549.476,0.17048738725336013
V1407491,2016-03,服务类,2615.2699,0.28775568786696687
V1407491,2016-03,鞋服配饰,100.0,0.011002905966491906
V1407496,2016-03,建材,346483.5,1.0
V1407499,2016-02,服务类,94867.9,1.0
V1407509,2016-09,服务类,25336.75,1.0
V1407513,2016-05,服务类,29583.5,1.0
V1407534,2017-06,服务类,55172.6,1.0
V1407564,2016-02,服务类,23821.45,1.0
V1407566,2016-06,服务类,108766.78,1.0
V1407595,2016-02,服务类,35073.8,1.0
