EmployeeID,Vendor,start,end,count
152052857,中国XXXX铁路,2017-04-07,2017-04-09,35
152030074,广州XXXX的士,2016-12-17,2016-12-18,35
152011289,北京XXXX租车,2016-11-26,2016-12-03,35
152008057,中国XXXX铁路,2016-10-22,2016-10-23,35
152035033,北京XXXX公司,2016-11-07,2016-11-08,35
152023226,出租XXXX租车,2017-03-25,2017-03-26,35
152052857,中国XXXX铁路,2017-04-07,2017-04-09,34
152008057,中国XXXX铁路,2016-10-22,2016-10-23,34
152023226,出租XXXX租车,2017-03-25,2017-03-26,34
152011289,北京XXXX租车,2016-11-26,2016-12-03,34
152030074,广州XXXX的士,2016-12-17,2016-12-18,34
152035033,北京XXXX公司,2016-11-07,2016-11-08,34
152052857,中国XXXX铁路,2017-04-07,2017-04-09,33
152023226,出租XXXX租车,2017-03-25,2017-03-26,33
152035033,北京XXXX公司,2016-11-07,2016-11-08,33
152011289,北京XXXX租车,2016-11-26,2016-12-03,33
152034703,中国XXXX道部,2017-03-18,2017-03-25,33
152008057,中国XXXX铁路,2016-10-22,2016-10-23,33
152030074,广州XXXX的士,2016-12-17,2016-12-18,33
152008057,中国XXXX铁路,2016-10-15,2016-10-22,33
152008057,中国XXXX铁路,2016-10-15,2016-10-22,32
152030074,广州XXXX的士,2016-12-17,2016-12-18,32
152011289,北京XXXX租车,2016-11-26,2016-12-03,32
152052857,中国XXXX铁路,2017-04-07,2017-04-09,32
152035033,北京XXXX公司,2016-11-07,2016-11-08,32
152023226,出租XXXX租车,2017-03-25,2017-03-26,32
152008057,中国XXXX铁路,2016-10-22,2016-10-23,32
152034703,中国XXXX道部,2017-03-18,2017-03-25,32
152023226,出租XXXX租车,2017-03-25,2017-03-26,31
152052857,中国XXXX铁路,2017-04-07,2017-04-09,31
152008057,中国XXXX铁路,2016-10-15,2016-10-22,31
152030074,广州XXXX的士,2016-12-17,2016-12-18,31
152034703,中国XXXX道部,2017-03-18,2017-03-25,31
152008057,中国XXXX铁路,2016-10-22,2016-10-23,31
152035033,北京XXXX公司,2016-11-07,2016-11-08,31
152011289,北京XXXX租车,2016-11-26,2016-12-03,31
152034703,中国XXXX道部,2017-03-18,2017-03-25,30
152008057,中国XXXX铁路,2016-10-15,2016-10-22,30
152023226,出租XXXX租车,2017-03-25,2017-03-26,30
152008057,中国XXXX铁路,2016-10-22,2016-10-23,30
152052857,中国XXXX铁路,2017-04-07,2017-04-09,30
152030074,广州XXXX的士,2016-12-17,2016-12-18,30
152011289,北京XXXX租车,2016-11-26,2016-12-03,30
152035033,北京XXXX公司,2016-11-07,2016-11-08,30
152034703,中国XXXX道部,2017-03-19,2017-03-26,29
152011289,北京XXXX租车,2016-11-26,2016-12-03,29
152008057,中国XXXX铁路,2016-10-15,2016-10-22,29
152030074,广州XXXX的士,2016-12-17,2016-12-18,29
152023226,出租XXXX租车,2017-03-25,2017-03-26,29
152052857,中国XXXX铁路,2017-04-07,2017-04-09,29
152035033,北京XXXX公司,2016-11-07,2016-11-08,29
152034703,中国XXXX道部,2017-03-18,2017-03-25,29
152008057,中国XXXX铁路,2016-10-22,2016-10-23,29
152052857,中国XXXX铁路,2017-04-07,2017-04-09,28
152035033,北京XXXX公司,2016-11-07,2016-11-08,28
152008057,中国XXXX铁路,2016-10-22,2016-10-23,28
152034703,中国XXXX道部,2017-03-18,2017-03-25,28
152030074,广州XXXX的士,2016-12-17,2016-12-18,28
152017444,中国XXXX高铁,2016-12-17,2016-12-18,28
152024864,出租XXXX租车,2016-12-01,2016-12-08,28
152011289,北京XXXX租车,2016-11-26,2016-12-03,28
152034703,中国XXXX道部,2017-03-19,2017-03-26,28
152023226,出租XXXX租车,2017-03-25,2017-03-26,28
200001300,北京XXXX汽车,2016-12-02,2016-12-04,27
152034703,中国XXXX道部,2017-03-18,2017-03-25,27
152030074,广州XXXX的士,2016-12-17,2016-12-18,27
152035033,北京XXXX公司,2016-11-07,2016-11-08,27
152023226,出租XXXX租车,2017-03-25,2017-03-26,27
200000127,中国XXXX铁路,2017-02-25,2017-03-04,27
152011289,北京XXXX租车,2016-11-26,2016-12-03,27
152024864,出租XXXX租车,2016-12-01,2016-12-08,27
152052857,中国XXXX铁路,2017-04-07,2017-04-09,27
152034703,中国XXXX道部,2017-03-24,2017-03-26,27
152017444,中国XXXX高铁,2016-12-17,2016-12-18,27
152008057,中国XXXX铁路,2016-10-22,2016-10-23,27
152023226,出租XXXX租车,2017-03-25,2017-03-26,26
152034703,中国XXXX道部,2017-03-18,2017-03-25,26
152030074,广州XXXX的士,2016-12-17,2016-12-18,26
152035033,北京XXXX公司,2016-11-07,2016-11-08,26
200001300,北京XXXX汽车,2016-12-02,2016-12-04,26
152024864,出租XXXX租车,2016-12-01,2016-12-08,26
152011289,北京XXXX租车,2016-11-26,2016-12-03,26
152052857,中国XXXX铁路,2017-04-07,2017-04-09,26
152017444,中国XXXX高铁,2016-12-17,2016-12-18,26
152034703,中国XXXX道部,2017-03-24,2017-03-26,26
200000127,中国XXXX铁路,2017-02-25,2017-03-04,26
152047393,广铁XXXX集团,2016-12-14,2016-12-15,26
152024864,出租XXXX租车,2016-11-30,2016-12-07,26
152008057,中国XXXX铁路,2016-10-22,2016-10-23,26
152035033,北京XXXX公司,2016-11-07,2016-11-08,25
152034703,中国XXXX道部,2017-03-17,2017-03-24,25
152030074,广州XXXX的士,2016-12-03,2016-12-10,25
200002343,出租XXXX租车,2016-12-03,2016-12-10,25
200000127,中国XXXX铁路,2017-02-25,2017-03-04,25
152034703,中国XXXX道部,2017-03-24,2017-03-26,25
152017444,中国XXXX高铁,2016-12-17,2016-12-18,25
152047393,广铁XXXX集团,2016-12-14,2016-12-15,25
152008057,中国XXXX铁路,2016-10-22,2016-10-23,25
152030074,广州XXXX的士,2016-12-17,2016-12-18,25
152014163,北京XXXX租车,2017-03-29,2017-03-29,25
152024864,出租XXXX租车,2016-12-02,2016-12-09,25
152024864,出租XXXX租车,2016-12-01,2016-12-08,25
152052857,中国XXXX铁路,2017-04-07,2017-04-09,25
