CUSTOMER_CODE,DELIVERY_CODE,total_amount,order_date,z
C00707000,LG1601043372,140000.0,2016-03-08,13.054861236220253
C00707000,LG1601043373,270000.0,2016-03-08,25.454121883592173
C00707000,LG1601043374,290000.0,2016-03-08,27.361700444726313
C00707000,LG1601043375,195520.0,2016-03-08,18.350299321928627
C00707000,LG1601043376,105000.0,2016-03-08,9.716598754235507
C00707000,LG1601045520,47840.0,2016-03-21,4.264739226514132
C00707000,LG1601048895,36250.0,2016-03-06,3.159297450336897
C00707000,LG1601052277,150400.0,2016-03-31,14.046802088010006
C00707000,LG1601052278,51200.0,2016-03-31,4.585212424784668
C00707000,LG1601052279,40000.0,2016-03-31,3.5169684305495488
C00707000,LG1601052282,99990.0,2016-03-31,9.238750324671406
C00707000,LG1601052284,116000.0,2016-03-31,10.765766962859285
C00707000,LG1601052285,47500.0,2016-03-31,4.232310390974852
C00707000,LG1601052798,42000.0,2016-03-08,3.707726286662963
C00707000,LG1601053896,42000.0,2016-07-19,3.707726286662963
C00707000,LG1601053898,42000.0,2016-07-19,3.707726286662963
C00707000,LG1601057992,54000.0,2016-02-23,4.852273423343448
C00707000,LG1601058091,48000.0,,4.279999855003205
C00707000,LG1601058096,55000.0,,4.947652351400155
C00707000,LG1601060523,43500.0,2016-03-08,3.8507946787480236
C00707000,LG1601060543,65000.0,2016-03-08,5.901441631967225
C00707000,LG1601060544,36000.0,2016-03-08,3.1354527183227203
C00707000,LG1601060571,37800.0,2016-04-08,3.307134788824793
C00707000,LG1601060572,88000.0,2016-04-07,8.095156977271488
C00707000,LG1601060573,252000.0,2016-04-07,23.737301178571443
C00707000,LG1601060664,58000.0,2016-03-07,5.233789135570276
C00707000,LG1601060665,59800.0,2016-03-07,5.405471206072348
C00707000,LG1601060671,65000.0,2016-03-07,5.901441631967225
C00707000,LG1601060672,84000.0,2016-03-07,7.71364126504466
C00707000,LG1601060701,108000.0,2016-03-06,10.002735538405629
C00707000,LG1601060702,63000.0,2016-03-06,5.710683775853811
C00707000,LG1601060703,47100.0,2016-03-06,4.194158819752169
C00707000,LG1601060704,38000.0,2016-03-06,3.3262105744361348
C00707000,LG1601060705,92435.0,2016-03-06,8.518162523202983
C00707000,LG1601060899,77000.0,2016-03-07,7.04598876864771
C00707000,LG1601060900,49800.0,2016-03-07,4.4516819255052775
C00707000,LG1601060901,50000.0,2016-03-07,4.47075771111662
C00707000,LG1601060910,40000.0,2016-03-06,3.5169684305495488
C00707000,LG1601060911,35200.0,2016-03-06,3.0591495758773553
C00707000,LG1601060912,76000.0,2016-03-06,6.950609840591003
C00707000,LG1601060937,49800.0,2016-03-08,4.4516819255052775
C00707000,LG1601108812,40000.0,2016-04-26,3.5169684305495488
C00707000,LG1601108813,52800.0,2016-04-26,4.737818709675399
C00707000,LG1601108814,100000.0,2016-04-26,9.239704113951973
C00707000,LG1601111893,48750.0,2016-03-09,4.351534051045736
C00707000,LG1601111894,41250.0,,3.6361920906204324
C00707000,LG1601116325,162690.0,2016-05-26,15.219009113826937
C00707000,LG1601116326,132000.0,2016-05-26,12.291829811766599
C00707000,LG1601116327,109250.0,2016-03-03,10.121959198476512
C00707000,LG1602012806,42400.0,,3.7458778578856458
C00707000,LG1602025443,85800.0,2016-05-26,7.885323335546732
C00707000,LG1605036475,90390.0,,8.323112615327018
C00707000,LG1608024971,59400.0,2016-08-18,5.3673196348496655
C00707000,LG1608031939,300000.0,2016-08-23,28.315489725293386
C00707000,LG1608031940,230000.0,2016-08-23,21.638964761323887
C00707000,LG1608031988,171200.0,2016-08-23,16.030683791589514
C00707000,LG1608047173,37500.0,2016-08-24,3.278521110407781
C00707000,LG1612064833,45000.0,2017-04-13,3.993863070833084
C00707000,LG1703023042,55000.0,,4.947652351400155
C00707000,LG1703024002,57500.0,,5.186099671541922
C00707000,LG1703024003,99950.0,,9.234935167549137
C00707000,LG1703024043,55980.0,,5.041123700895727
C00707000,LG1703027904,115000.0,,10.670388034802578
C00707000,LG1703029712,39980.0,,3.5150608519884146
C00707000,LG1703041846,37500.0,2017-05-10,3.278521110407781
C00707000,LG1703041848,73000.0,2017-05-10,6.664473056420882
C00707000,LG1703043602,53200.0,,4.775970280898082
C00707000,LG1703043603,38000.0,,3.3262105744361348
C00707000,LG1703043604,44000.0,,3.898484142776377
C00707000,LG1703047918,65100.0,2017-04-19,5.910979524772896
C00707000,LG1703047919,140000.0,2017-04-19,13.054861236220253
C00707000,LG1703047922,59960.0,,5.420731834561422
C00707000,LG1703052497,63960.0,,5.80224754678825
C00707000,LG1703052498,64800.0,,5.882365846355884
C00707000,LG1703052499,41574.0,,3.6670948633108056
C00707000,LG1703052502,67500.0,,6.1398889521089925
C00729000,LG1603070696,423000.0,2016-05-19,3.0635403604116753
C00729000,LG1703027619,808580.0,2017-04-24,6.808346308330291
C00789000,LG1603038723,131180.0,,3.184863763502312
C00789000,LG1607049700,131080.0,,3.1816272282375384
C00799000,LG1605023685,38583.0,2016-07-13,5.019722397488322
C00799000,LG1606017254,25722.0,,3.1533511922591964
C00799000,LG1606028805,25600.0,2016-07-13,3.1356467146106497
C00799000,LG1606028808,31548.0,2016-07-13,3.998812559311905
C00801000,LG1603039694,243750.0,2016-04-28,3.45815115408741
C00801000,LG1603059554,297000.0,2016-04-28,4.479604554626533
C00806000,LG1601011766,180850.0,2016-04-11,3.5641267543778614
C00823000,LG1611031833,382850.0,2017-03-13,4.221952810787564
C00823000,LG1611050374,298800.0,2017-02-14,3.076941042270639
C00825000,LG1610013918,317500.0,2016-12-06,3.1921882757453055
C00836000,LG1603069278,208700.0,2016-06-01,3.8186606384635757
C00836000,LG1607042564,212990.0,2016-08-22,3.9176993798410553
C00836000,LG1705015085,190810.0,,3.4056529267518947
C00849000,LG1601037693,410260.0,2016-01-26,4.032615637290373
C00849000,LG1603029579,349600.0,2016-04-12,3.348304375170763
C00849000,LG1603071296,344680.0,2016-04-12,3.292801384573525
C00849000,LG1606017842,355800.0,2016-06-13,3.4182471681998035
C00849000,LG1608038809,729605.0,2016-08-25,7.635177127590192
C00849000,LG1612041008,571380.0,2017-02-21,5.850225768393433
C00849000,LG1612070628,533250.0,2017-02-21,5.420077591264836
C00850000,LG1603038629,359470.0,2016-04-20,3.323099859068614
C00850000,LG1605035265,-261000.0,2016-11-19,-3.5791173397061407
C00850000,LG1605035272,-215200.0,2016-11-19,-3.069630099865562
C00850000,LG1703017541,352050.0,2017-03-29,3.2405584765442232
C00853000,LG1608051413,116096.0,2016-09-26,3.3596141553442083
C00865000,LG1702026871,328192.5,,3.8167499462062526
C00883000,LG1608065371,451325.0,2016-10-03,3.708175399401339
C00885000,LG1705018359,104292.0,,4.314893286332664
C00897000,LG1604058854,156958.0,2016-05-10,3.078595764420295
C00910000,LG1512068730,401320.0,2016-01-26,4.051779768539924
C00910000,LG1606049624,606280.0,2016-08-25,6.432196257565568
C00943000,LG1601041051,460000.0,2016-03-30,3.31796415092408
C00943000,LG1602020158,662200.0,2016-03-30,5.157844370271987
C00943000,LG1603022043,443000.0,2016-07-13,3.1632759030066
C00943000,LG1608054839,831600.0,2016-11-10,6.699267264226168
C00943000,LG1609053094,552100.0,2016-12-21,4.156010482288779
C00948000,LG1608069756,486800.0,2016-09-29,3.2745425228577973
C00948000,LG1612043168,550392.0,2017-02-22,3.837581011887227
C00964000,LG1612068746,-2450.0,2017-01-11,-4.541798365712452
C00984000,LG1701016843,787450.0,2017-03-17,3.2688482168793436
C00984000,LG1701017666,750925.0,2017-03-17,3.078076795011776
C00984000,LG1701025901,847849.5,2017-03-17,3.5843170326244542
C00984000,LG1703044560,832000.0,2017-04-24,3.5015345096705865
C00987000,LG1607060280,374880.0,2016-09-18,4.235268038826821
C00987000,LG1612045176,289839.0,2017-03-01,3.163567403585176
C01002000,LG1607053385,328600.0,2017-01-13,4.4498426286981525
C01002000,LG1607062915,239678.0,2017-01-17,3.0670597546283678
C01009000,LG1603059581,449700.0,2016-08-31,3.186989577876811
C01009000,LG1606034148,446000.0,2017-03-18,3.151788909205075
C01009000,LG1702026753,475872.0,2017-05-05,3.4359819834110463
C01013000,LG1611042515,437940.0,2017-05-05,3.2158712414134625
C01019000,LG1601023470,121730.0,2016-03-24,3.328483615832123
C01029000,LG1512061666,341560.0,2016-01-30,3.5088037605751965
C01029000,LG1512068512,546576.0,2016-01-30,6.226254091129465
C01029000,LG1601010308,419160.0,2016-01-30,4.537377850651148
C01029000,LG1601018200,601320.0,2016-01-30,6.951875998179954
C01029000,LG1601021415,378310.0,2016-03-16,3.9959184230789493
C01029000,LG1601026325,391050.0,2016-03-16,4.164784839413583
C01029000,LG1601031847,368520.0,2016-03-15,3.866153727952099
C01029000,LG1601036632,390000.0,2016-03-16,4.150867277627762
C01029000,LG1604036210,320600.0,2016-08-18,3.2309827176887023
C01029000,LG1604054541,369880.0,2016-08-24,3.884180284169925
C01029000,LG1606033950,318300.0,2016-08-16,3.200496629967379
C01029000,LG1607065101,344280.0,2016-11-25,3.5448568730108483
C01029000,LG1608050745,483200.0,2016-11-24,5.3862165713787755
C01029000,LG1608054687,308560.0,2016-10-09,3.0713946758779493
C01029000,LG1608057519,316000.0,2016-11-24,3.170010542246056
C01029000,LG1609065491,406000.0,2016-11-29,4.362944409602185
C01029000,LG1611048725,692480.0,2017-02-22,8.160185457604229
C01029000,LG1612023613,379834.0,2017-02-20,4.016118769899513
C01029000,LG1612035774,363000.0,2017-02-20,3.7929871174209233
C01029000,LG1701020762,345000.0,2017-05-08,3.5544003439496974
C01029000,LG1703007341,439400.0,2017-05-05,4.805655422598793
C01029000,LG1703015716,341200.0,2017-05-03,3.504032025105772
C01029000,LG1703033663,352000.0,2017-05-04,3.6471840891885074
C01029000,LG1703039289,330000.0,2017-05-03,3.3555780327236757
C01029000,LG1704009641,394240.0,,4.207067717600984
C01029000,LG1704009642,309760.0,,3.087300460776031
C01029000,LG1704011485,492800.0,,5.51346285056343
C01029000,LG1704018060,365400.0,,3.8247986872170867
C01095000,LG1608065477,118560.0,2016-11-11,3.0503479992382103
C01099000,LG1602031462,416500.0,2016-07-11,4.192584791912763
C01119000,LG1606064473,496870.0,2016-12-26,4.772737638893848
C01154000,LG1601008227,790474.0,2016-07-13,5.184476228127002
C01167000,LG1601052307,322340.0,2016-02-18,3.1896866573052947
C01167000,LG1603037213,363000.0,2016-03-29,3.695657791574549
C01167000,LG1605022268,331000.0,2016-05-24,3.2974512914118304
C01167000,LG1607055488,376140.0,2016-08-19,3.8591713357038655
C01167000,LG1611045634,315476.0,2016-12-22,3.1042713630203917
C01167000,LG1612037350,325300.0,2017-03-18,3.2265207585703464
C01167000,LG1705012549,584760.0,,6.45522883770219
C01193000,LG1601035098,587650.0,2016-03-26,3.8347997333459034
C01193000,LG1701033102,525260.0,2017-05-04,3.324857172755279
C01195000,LG1702038943,226140.0,2017-03-10,3.914810255837803
C01200000,LG1603045927,267950.0,2016-07-06,3.338476684454077
C01200000,LG1701016713,278650.0,2017-05-04,3.512941213652674
C01208000,LG1705020944,623110.0,,4.051944217485437
C01226000,LG1607062618,489000.0,2016-09-22,3.101990629728737
C01231000,LG1610059653,193650.0,2017-03-14,4.137716868279431
